position,player,points_2425,gw1_28,gw29_38
MID,Saša Lukić,56,42,14
DEF,Pau Torres,55,32,23
DEF,Taylor Harwood-Bellis,55,41,14
DEF,Wout Faes,55,34,21
DEF,Jean-Clair Todibo,54,37,17
DEF,Kyle Walker-Peters,54,42,12
MID,Nicolás Domínguez,54,34,20
DEF,Reece James,54,22,32
MID,Sam Szmodics,54,53,1
FWD,Eddie Nketiah,53,35,18
MID,Jack Clarke,53,39,14
FWD,Jhon Durán,53,53,0
MID,Kamaldeen Sulemana,53,31,22
MID,Sander Berge,53,38,15
MID,David Brooks,52,42,10
MID,João Pedro Ferreira Silva,52,36,16
DEF,Leif Davis,52,51,1
MID,Mats Wieffer,52,30,22
DEF,Santiago Bueno,52,40,12
DEF,Djed Spence,51,41,10
MID,James Ward-Prowse,51,23,28
DEF,Joachim Andersen,51,35,16
FWD,Paul Onuachu,51,32,19
DEF,Benjamin White,50,29,21
MID,Marshall Munetsi,50,17,33
MID,Matt O'Riley,50,25,25
MID,Pablo Sarabia,50,25,25
MID,Yves Bissouma,50,43,7
GK,Arijanet Muric,49,49,0
DEF,Cristian Romero,49,37,12
DEF,Dara O'Shea,49,33,16
DEF,Kenny Tete,49,37,12
MID,Manuel Ugarte,49,31,18
MID,Rodrigo Bentancur,49,39,10
MID,Bobby De Cordova-Reid,48,43,5
MID,Boubakary Soumaré,48,30,18
MID,Carlos Henrique Casimiro,48,38,10
MID,Flynn Downes,48,34,14
DEF,Harry Maguire,48,35,13
DEF,Michael Keane,48,33,15
MID,Carlos Soler,47,38,9
DEF,Ethan Pinnock,47,44,3
MID,Leon Bailey,47,46,1
MID,Lesley Ugochukwu,47,24,23
MID,Mario Lemina,47,47,0
DEF,Tyrone Mings,47,31,16
FWD,George Hirst,46,25,21
MID,Joe Willock,46,38,8
DEF,Timothy Castagne,46,35,11
FWD,Adam Armstrong,45,45,0
MID,Archie Gray,45,32,13
MID,Brajan Gruda,45,18,27
GK,Caoimhin Kelleher,45,37,8
MID,Christian Eriksen,45,27,18
MID,Daichi Kamada,45,32,13
DEF,Emmanuel Agbadou,45,11,34
DEF,Konstantinos Mavropanos,45,35,10
MID,Carlos Alcaraz Durán,44,17,27
MID,Jesper Lindstrøm,44,43,1
DEF,Lewis Dunk,44,38,6
MID,Lucas Bergvall,44,34,10
MID,Marco Asensio,44,19,25
GK,Martin Dúbravka,44,44,0
MID,Ross Barkley,44,40,4
DEF,Destiny Udogie,43,42,1
DEF,Jakub Kiwior,43,13,30
DEF,Konstantinos Tsimikas,43,32,11
DEF,Sugawara Yukinari,43,38,5
MID,Yehor Yarmoliuk,43,25,18
MID,Adam Wharton,42,22,20
FWD,Gabriel Fernando de Jesus,42,42,0
MID,James Garner,42,22,20
MID,Kobbie Mainoo,42,32,10
MID,Mathys Tel,42,7,35
FWD,Michail Antonio,42,42,0
FWD,Niclas Füllkrug,42,22,20
MID,Rodrigo Martins Gomes,42,28,14
DEF,Tariq Lamptey,42,40,2
DEF,Conor Bradley,41,16,25
MID,Conor Chaplin,41,33,8
MID,Edson Álvarez Velázquez,40,35,5
MID,Harry Winks,40,39,1
DEF,Oleksandr Zinchenko,40,19,21
DEF,Adam Webster,39,25,14
DEF,Conor Coady,39,11,28
DEF,Kristoffer Ajer,39,26,13
MID,Orel Mangala,39,39,0
DEF,Riccardo Calafiori,39,37,2
GK,Łukasz Fabiański,39,36,3
MID,Jack Grealish,38,26,12
MID,Jack Taylor,38,26,12
MID,Mathias Jensen,38,28,10
MID,Hwang Hee-chan,37,34,3
DEF,Jacob Greaves,37,32,5
MID,Jaden Philogene,37,33,4
MID,Myles Lewis-Skelly,37,19,18
MID,Nathan Broadhead,37,16,21
DEF,Aaron Cresswell,36,26,10
DEF,Felipe Rodrigues da Silva,36,34,2
MID,Guido Rodríguez,36,28,8
DEF,Mads Roerslev Rasmussen,36,36,0
MID,Fábio Freitas Gouveia Carvalho,35,35,0
MID,Kasey McAteer,35,18,17
FWD,Richarlison de Andrade,35,20,15
GK,Stefan Ortega Moreno,35,25,10
MID,Donyell Malen,34,7,27
MID,Justin Devenny,34,22,12
FWD,Patson Daka,34,23,11
DEF,Ryan Manning,34,17,17
MID,Sean Longstaff,34,30,4
MID,Timo Werner,34,34,0
DEF,Victor Kristiansen,34,31,3
MID,Wilson Odobert,34,12,22
DEF,Álex Moreno Lopera,34,31,3
DEF,Axel Disasi,33,30,3
MID,Crysencio Summerville,33,33,0
MID,Harvey Elliott,33,14,19
MID,Tom Cairney,33,21,12
FWD,Danny Ings,32,32,0
FWD,Enes Ünal,32,32,0
DEF,Micky van de Ven,32,29,3
FWD,Taiwo Awoniyi,32,26,6
DEF,Issa Diop,31,30,1
DEF,Jack Stephens,31,11,20
MID,James McAtee,31,20,11
DEF,Marcos Senesi,31,21,10
MID,Nico González,31,10,21
MID,Nico O'Reilly,31,2,29
DEF,Ben Johnson,30,17,13
MID,Diego Gómez,30,7,23
MID,Wes Burns,30,30,0
